source_id,study,participants_task_repetitions,display_mouse,A_W_reported,mouse_MT_and_evidence,source_url
S1,S1 Yamanaka & MacKenzie (2026),募集346、分析342名。25ターゲット。各教示6条件×25選択,各自のWindows環境、解像度1280×850以上。アプリ1200×800,"A＝320,500 px × W＝20,45,100 px",中立773 ms、正確さ重視864、速さ重視720。§5.2・Fig.6。報告,https://www.yorku.ca/mack/chi2026.html
S2,S2 Bérard (2024),6名。11ターゲット。8日、各日440選択/入力方式＋ウォームアップ,597×336 mm、2560×1440、165 Hz。実寸から約27インチ,"(A,W)＝(36,12),(63,9),(90,6),(124,4),(189,3) mm","最終日平均680 ms。ID別370/520/670/840/1010 ms。Tables 1,3。報告",https://www.sciencedirect.com/science/article/am/pii/S1071581924000454
S3,S3 Ramcharitar & Teather (2017),5名。13ターゲット。6条件×13×5ブロック＝390選択/装置,27インチLGテレビ。解像度は未確認,"A＝128,256,512 px × W＝20,35 px",約0.75〜0.80 s。Fig.8のマウス棒、目視概算。TP4.73からの逆算ではない,https://www.csit.carleton.ca/~rteather/pdfs/CHI2017_fitts_game_controllers.pdf
S4,"S4 MacKenzie, Kauppinen & Silfverberg (2001)",12名。16ターゲット、15選択×5系列×10ブロック,17インチ、Windows 98。Logitech FirstMouse+,配置D＝400 px（約180 mm）、W＝30 px（約13 mm）,MTはFig.7。今回数値未抽出。TP4.9 bpsをMTと混同しない,https://www.yorku.ca/mack/CHI01.htm
S5,"S5 Wobbrock, Shinohara & Jansen (2011)",21名。1D・2D両方。各18条件、練習3＋測定20試行,21インチ、1600×1200。Logitech光学式,"A＝256,384,512 px × W＝8,16,32,64,96,128 px",全体平均MTは未抽出。Table 1の係数には有効ID・絶対値の切片が含まれ、今回の予測に使わない,https://faculty.washington.edu/wobbrock/pubs/chi-11.01.pdf
S6,S6 Rajanna & Hammond (2022、arXiv公開稿),12名。13ターゲット、4条件×4ブロック＝208選択/入力方式,24インチ。解像度は未確認,"A＝1000,1100 px × W＝230,330 px",683.9 ms、SD148.5 ms。Table 2。報告。査読済論文としては数えない,https://arxiv.org/abs/2208.01248
S7,"S7 Seixas, Cardoso & Dias (2015)",募集12名。公開分析では未完了2名を除く10名。16ターゲット、15×5×8＝600選択/装置,HP L1706、1280×1024。Genius Xscroll、OS X,配置D＝180 mm、W＝13 mm,公開データ再集計：全8ブロック880.4 ms、論文主要分析と同じ4〜8ブロック867.7 ms。Fig.5・公開Rスクリプト,https://www.scitepress.org/PublishedPapers/2015/52061/52061.pdf
S16,S16 Sanchez et al. (2021),6〜8歳10名。多方向、4条件。3日訓練前後,17インチノート。解像度は未確認,"A＝256,512 px × W＝32,96 px",1014.25→973.90 ms。§3/Fig.4。報告。児童なので成人の設計基準から除外,https://pmc.ncbi.nlm.nih.gov/articles/PMC8197934/
S8,"S8 Bachmann, Weichert & Rinkenauer (2015)",水平2ターゲット、12名。3ブロック、各条件20選択,22インチ、1680×1280と原文記載。Logitech RX250,"A＝40,80,160 mm × W＝10,20,40 mm、9組・5 ID",565 ms。§3.1.2。報告。別入力装置との総平均757 msは使わない,https://www.mdpi.com/1424-8220/15/1/214
S9,S9 MacKenzie & Jusoh (2001),水平反復、12名、4ブロック,15インチVGA、Microsoft Mouse 2.0,"A＝40,80,160 mm × W＝10,20,40 mm",666 ms。§5.1。報告。GyroPoint-deskの598 msとは別,https://www.yorku.ca/mack/ehci01.html
S10,"S10 MacKenzie, Sellen & Buxton (1991)",水平の選択課題、12名、5セッション,Macintosh II。寸法・解像度は未確認,"A＝64,128,256,512 px × W＝8,16,32,64 px",674 ms。Results—Movement Time。報告。draggingの916 msとは別,https://www.yorku.ca/mack/CHI91.html
S11,S11 Akamatsu & MacKenzie (1996),左下から右上56°の離散選択、12名,NEC PC9801、特製マウス。寸法・解像度は未確認,"A＝72,144,288 px × W＝11,21,41 px（正方形）",通常フィードバック520 ms。Table 1/§5.1。報告。全フィードバック平均503 msとは別,https://www.yorku.ca/mack/IJHCS2.html
S12,S12 MacKenzie & Isokoski (2008),水平反復、18名。3種類の教示,Microsoft IntelliMouse USB。画面条件は未確認,A＝400 px、W＝25 px,標準756 ms、速さ重視613、正確さ重視947。Results/Fig.4。報告,https://www.yorku.ca/mack/chi2008a.html
S13,"S13 Sasangohar, MacKenzie & Scott (2009)",水平反復、12名,32インチ卓上投影、800×600。Logitech MX110,"A＝64,128,256,512 px × W＝8,16,32,64 px",条件別ブロック平均の範囲607〜1323 ms。Abstract/Results。全条件平均ではない,https://www.yorku.ca/mack/hfes2009.pdf
S14,"S14 Casiez et al. (2008), Exp.1",水平反復、8名。ゲイン・加速を操作,20インチ、1600×1200、100 DPI。Logitech MX518・1600 DPI,"A＝90,180,360 mm × W＝2,4,8 mmから(180,4)を除く8組",選択したゲイン水準の集計：固定ゲイン1200 ms、加速1160 ms。§4.3付近。全設定平均ではない,https://www.dgp.toronto.edu/~ravin/papers/hci2008_cdgain.pdf
S15,S15 Isokoski & Raisamo (2002),水平矩形、12名、6種類のマウス、2日,21インチ、1600×1200、85 Hz,A＝16〜1024 px（2倍刻み）、W＝4〜512 px（2倍刻み）、W≤A/2の35組,"6機種の平均：761,811,786,816,768,767 ms。Fig.6に数値記載。6件の独立研究とは扱わない",https://www.researchgate.net/publication/233810369_Speed-accuracy_measures_in_a_population_of_six_mice
